State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Arrival_Date
Maharashtra,Mumbai,Vashi,Banana,Robusta,25,43,34,01/03/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,125,185,155,01/03/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,12,22,17,01/03/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,25,40,32,01/03/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,35,55,45,01/03/2026
Maharashtra,Pune,Pune,Tomato,Local,32,56,44,01/03/2026
Maharashtra,Pune,Pune,Onion,Red,18,37,27,01/03/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,63,93,78,01/03/2026
Maharashtra,Nashik,Nashik,Onion,Red,19,39,29,01/03/2026
Maharashtra,Ratnagiri,Ratnagiri,Mango,Alphonso,108,158,133,01/03/2026
Maharashtra,Nagpur,Nagpur,Orange,Nagpur,42,80,61,01/03/2026
Maharashtra,Mumbai,Vashi,Tomato,Local,30,58,44,13/03/2026
Maharashtra,Mumbai,Vashi,Onion,Red,18,36,27,13/03/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,14,24,19,13/03/2026
Maharashtra,Mumbai,Vashi,Banana,Robusta,22,42,32,13/03/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,120,182,151,13/03/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,10,20,15,13/03/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,22,38,30,13/03/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,32,54,43,13/03/2026
Maharashtra,Pune,Pune,Tomato,Local,28,54,41,13/03/2026
Maharashtra,Pune,Pune,Onion,Red,16,35,25,13/03/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,60,92,76,13/03/2026
Maharashtra,Nashik,Nashik,Onion,Red,18,38,28,13/03/2026
Maharashtra,Ratnagiri,Ratnagiri,Mango,Alphonso,105,155,130,13/03/2026
Maharashtra,Nagpur,Nagpur,Orange,Nagpur,40,78,59,13/03/2026
Maharashtra,Mumbai,Vashi,Rice,Basmati,78,118,98,13/03/2026
Maharashtra,Mumbai,Vashi,Wheat,Local,24,34,29,13/03/2026
Maharashtra,Mumbai,Vashi,Toor Dal,Local,108,128,118,13/03/2026
Maharashtra,Mumbai,Vashi,Moong Dal,Local,68,88,78,13/03/2026
Maharashtra,Mumbai,Vashi,Chana Dal,Local,83,103,93,13/03/2026
Maharashtra,Mumbai,Vashi,Coriander,Local,8,18,13,13/03/2026
Maharashtra,Mumbai,Vashi,Turmeric,Local,33,53,43,13/03/2026
Maharashtra,Mumbai,Vashi,Green Peas,Local,33,53,43,13/03/2026
Maharashtra,Mumbai,Vashi,Cauliflower,Local,18,38,28,13/03/2026
Maharashtra,Mumbai,Vashi,Cabbage,Local,8,18,13,13/03/2026
Maharashtra,Mumbai,Vashi,Bitter Gourd,Local,25,45,35,13/03/2026
Maharashtra,Mumbai,Vashi,Lady Finger,Local,18,32,25,13/03/2026
Maharashtra,Mumbai,Vashi,Beetroot,Local,22,38,30,13/03/2026
Maharashtra,Mumbai,Vashi,Drumstick,Local,15,30,22,13/03/2026
Maharashtra,Mumbai,Vashi,Brinjal,Local,15,28,21,13/03/2026
Maharashtra,Mumbai,Vashi,Coconut,Local,30,50,40,13/03/2026
Maharashtra,Mumbai,Vashi,Papaya,Local,20,40,30,13/03/2026
Maharashtra,Mumbai,Vashi,Guava,Local,25,45,35,13/03/2026
Maharashtra,Mumbai,Vashi,Pomegranate,Local,60,100,80,13/03/2026
Maharashtra,Mumbai,Vashi,Watermelon,Local,15,30,22,13/03/2026
Maharashtra,Mumbai,Vashi,Pineapple,Local,35,60,47,13/03/2026
